element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Pb,2,"=""11479.49""","=""0.10""","=""""","=""""","=""2bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3699""",
Hf,1,"=""11480.61""","=""0.05""","=""11480.642""","=""0.004""","=""1600""","=""""",,"=""1.8276129""","=""2.90725869""","=""5d3.(b 4F).6s""","=""a 5F""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""3""",,"=""""","=""L16323""",
Cs,2,"=""11481.8710""","=""0.0017""","=""11481.8706""","=""0.0016""","=""19000""","=""""",,"=""19.59662208""","=""20.67615231""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""0""","=""5p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L12126""",
Th,1,"=""11481.9480""","=""0.0008""","=""11481.94901""","=""0.00023""","=""21""","=""""",,"=""3.193081366""","=""4.27260422""","=""""","=""*""","=""5""","=""""","=""""","=""5""",,"=""""","=""L9974""",
Th,1,"=""11483.224""","=""0.004""","=""11483.2234""","=""0.0004""","=""0""","=""""",,"=""2.674963685""","=""3.75436674""","=""6d3.(2P).7s""","=""""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L2351""",
Tl,1,"=""11483.7""","=""1.0""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4830""",
Ge,1,"=""11483.774""","=""0.005""","=""11483.7759""","=""0.0010""","=""150""","=""""",,"=""4.96191710""","=""6.04126822""","=""4s2.4p.5s""","=""1P*""","=""1""","=""4s2.4p.5p""","=""3P""","=""2""",,"=""""","=""L3503""",
Cr,1,"=""11484.6280""","=""0.0013""","=""11484.6276""","=""0.0007""","=""1020""","=""""",,"=""3.32231395""","=""4.40158502""","=""3d5.(6S).4p""","=""z 5P*""","=""2""","=""3d6""","=""c 5D""","=""3""",,"=""""","=""L14866""",
Mg,2,"=""11487.197""","=""0.010""","=""11487.20""","=""0.10""","=""6""","=""1.38e+06""",B+,"=""13.096416""","=""14.175446""","=""2p6.6p""","=""2P*""","=""3/2""","=""2p6.8d""","=""2D""","=""5/2""",,"=""c31""","=""L6692""",
Te,1,"=""11487.230""","=""0.007""","=""11487.233""","=""0.009""","=""6900""","=""""",,"=""5.7842023""","=""6.8632286""","=""5p3.(4S*).6s""","=""3S*""","=""1""","=""5p3.(4S*).6p""","=""3P""","=""1""",,"=""""","=""L3682""",
Ar,1,"=""11488.109""","=""0.010""","=""11488.108""","=""0.010""","=""400""","=""1.9e+05""",C,"=""11.82807116""","=""12.90701530""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",,"=""T1242n""","=""L2634""",
Pb,1,"=""11488.757""","=""0.009""","=""11488.7499""","=""0.0023""","=""2""","=""""",,"=""5.55565303""","=""6.63453685""","=""6s2.6p.7p""","=""(1/2,3/2)""","=""2""","=""6s2.6p.9s""","=""(1/2,1/2)*""","=""1""",,"=""""","=""L50""",
Ti,1,"=""11489.409""","=""0.016""","=""11489.406""","=""0.005""","=""6""","=""""",,"=""4.2408776""","=""5.31969983""","=""3d2.(1G).4s.4p.(3P*)""","=""v 3F*""","=""4""","=""3d2.4s.(4F).4d""","=""3D""","=""3""",,"=""""","=""L10989""",
Fe,1,"=""11489.553""","=""0.004""","=""11489.558""","=""0.004""","=""145""","=""""",,"=""6.31920567""","=""7.3980136""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""6""","=""3d6.4s.(6D<7/2>).5f""","=""2[13/2]*""","=""7""",,"=""""","=""L11631""",
Th,1,"=""11489.88395""","=""0.00025""","=""11489.88369""","=""0.00008""","=""580""","=""""",,"=""1.0910919079""","=""2.169869268""","=""6d3.(4F).7s""","=""5F""","=""4""","=""5f.6d2.7s""","=""5I*""","=""5""",,"=""""","=""L5951""",
Xe,1,"=""11491.22""","=""0.03""","=""11491.263+""","=""0.019""","=""15""","=""5.12e+05""",B,"=""9.9170767""","=""10.9957246""","=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""",,"=""T8608n,T6672""","=""L7293""",
Hg,1,"=""11491.6""","=""0.4""","=""11491.71""","=""0.03""","=""4""","=""""",,"=""8.6189570""","=""9.697563""","=""5d10.6s.7p""","=""3P*""","=""0""","=""5d10.6s.9s""","=""3S""","=""1""",,"=""""","=""L15167c86""",
Th,1,"=""11494.0622""","=""0.0005""","=""11494.06169""","=""0.00012""","=""130""","=""""",,"=""1.966871474""","=""3.045256708""","=""6d3.(2D2).7s""","=""""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L9974""",
V,1,"=""11495.852""","=""0.010""","=""11495.857""","=""0.012""","=""680""","=""""",,"=""3.5288602""","=""4.6070770""","=""3d3.(4P).4s.4p.(3P*)""","=""x 6D*""","=""5/2""","=""3d4.(5D).5s""","=""e 6D""","=""3/2""",,"=""""","=""L15916""",
Be,1,"=""11496.39""","=""0.02""","=""11496.39""","=""0.03""","=""7*""","=""2.58e+04""",B,"=""7.693683""","=""8.771850""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.5f""","=""3F*""","=""2""",,"=""u28""","=""L483""",
Be,1,"=""11496.39""","=""0.02""","=""11496.39""","=""0.03""","=""7*""","=""9.03e+05""",B,"=""7.693683""","=""8.771850""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.5f""","=""3F*""","=""2""",,"=""u28""","=""L483""",
Be,1,"=""11496.39""","=""0.02""","=""11496.39""","=""0.03""","=""7*""","=""6.45e+05""",B,"=""7.693683""","=""8.771850""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.5f""","=""3F*""","=""3""",,"=""u28""","=""L483""",
Be,1,"=""11496.39""","=""0.02""","=""11496.39""","=""0.03""","=""7*""","=""5.18e+06""",B,"=""7.693683""","=""8.771850""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.5f""","=""3F*""","=""3""",,"=""u28""","=""L483""",
Be,1,"=""11496.39""","=""0.02""","=""11496.39""","=""0.03""","=""7*""","=""4.88e+06""",B,"=""7.6936830""","=""8.771850""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.5f""","=""3F*""","=""2""",,"=""u28""","=""L483""",
Be,1,"=""11496.39""","=""0.02""","=""11496.4""","=""1.5""","=""7*""","=""""",,"=""7.693683""","=""8.77184""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.5f""","=""3F*""","=""4""",,"=""""","=""L483""",
Cs,2,"=""11496.556""","=""0.002""","=""11496.5550""","=""0.0016""","=""53000""","=""""",,"=""19.31154649""","=""20.38969785""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""""","=""L12126""",
Fe,2,"=""11499.768""","=""0.002""","=""11499.7635""","=""0.0011""","=""1.1""","=""""",,"=""12.2815138""","=""13.3593643""","=""3d6.(3P2).5s""","=""4P""","=""1/2""","=""3d6.(5D).6p""","=""4D*""","=""1/2""",,"=""""","=""L18349c139""",
Bk,1,"=""11500.30""","=""0.10""","=""""","=""""","=""10000l""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3610""",
Hf,1,"=""11500.5""","=""0.3""","=""11500.609""","=""0.015""","=""93""","=""""",,"=""3.7816578""","=""4.85942911""","=""5d3.(b 2G).6s""","=""a 1G""","=""4""","=""5d2.(b 1D).6s.(b 2D).6p""","=""v 3D*""","=""3""",,"=""""","=""L21571c196""",
Th,1,"=""11501.4765""","=""0.0003""","=""11501.47647""","=""0.00008""","=""580""","=""""",,"=""1.728997759""","=""2.806687780""","=""6d.7s2.7p""","=""3F*""","=""3""","=""5f.7s2.7p""","=""3F""","=""3""",,"=""""","=""L14361""",
Th,1,"=""11502.1815""","=""0.0003""","=""11502.18148""","=""0.00009""","=""300""","=""""",,"=""1.592945153""","=""2.670569119""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L14361""",
Ti,1,"=""11502.252""","=""0.016""","=""11502.254""","=""0.004""","=""6""","=""""",,"=""4.2252086""","=""5.30282580""","=""3d2.(1G).4s.4p.(3P*)""","=""v 3F*""","=""3""","=""3d2.4s.(4F).4d""","=""3D""","=""2""",,"=""""","=""L10989""",
Cs,2,"=""11502.4499""","=""0.0019""","=""11502.4511""","=""0.0014""","=""1500""","=""""",,"=""19.33839237""","=""20.41599107""","=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L12126""",
Cs,2,"=""11503.2950""","=""0.0013""","=""11503.2954""","=""0.0013""","=""900""","=""""",,"=""20.89939723""","=""21.97691684""","=""5p5.(2P*<3/2>).8p""","=""2[1/2]""","=""0""","=""5p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L12126""",
U,1,"=""11503.38""","=""0.10""","=""""","=""""","=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""u10""",
Ar,2,"=""11503.4797""","=""0.0016""","=""11503.4815""","=""0.0013""","=""19""","=""""",,"=""23.103285166""","=""24.18078735""","=""3s2.3p4.(3P).4d""","=""4F""","=""3/2""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Hf,1,"=""11503.6""","=""0.3""","=""11503.680""","=""0.007""","=""58""","=""""",,"=""2.8829862""","=""3.96046984""","=""5d3.(b 2G).6s""","=""a 3G""","=""4""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 5D*""","=""4""",,"=""""","=""L21571c196""",
Th,1,"=""11506.0713""","=""0.0007""","=""11506.07127""","=""0.00021""","=""91""","=""""",,"=""3.009680634""","=""4.086940295""","=""""","=""*""","=""5""","=""""","=""""","=""5""",,"=""""","=""L9974""",
Cm,1,"=""11507.45""","=""0.10""","=""""","=""""","=""10000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3919""",
Cs,2,"=""11509.0867""","=""0.0013""","=""11509.0878""","=""0.0016""","=""4000""","=""""",,"=""19.52179104""","=""20.59876835""","=""5p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""5p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L12126""",
Fe,2,"=""11509.2276""","=""0.0006""","=""11509.1936""","=""0.0011""","=""15""","=""""",,"=""12.9182220""","=""13.9951894""","=""3d6.(3H).4d""","=""4I""","=""9/2""","=""3d6.(5D<4>).5f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c145""",
Th,1,"=""11510.0220""","=""0.0003""","=""11510.02201""","=""0.00010""","=""350""","=""""",,"=""2.332128677""","=""3.409018576""","=""6d2.7s.7p""","=""5G*""","=""4""","=""5f2.7s2""","=""3H""","=""4""",,"=""""","=""L14361""",
Cr,1,"=""11510.171""","=""0.009""","=""11510.1781""","=""0.0013""","=""8""","=""""",,"=""4.40158502""","=""5.47846032""","=""3d6""","=""c 5D""","=""3""","=""3d5.(6S).5p""","=""w 5P*""","=""2""",,"=""""","=""L14866""",
Th,1,"=""11510.2783""","=""0.0008""","=""11510.27604""","=""0.00022""","=""33""","=""""",,"=""2.226743183""","=""3.30360932""","=""6d3.(4F).7s""","=""3F""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L9974""",
Th,1,"=""11511.2752""","=""0.0007""","=""11511.27620""","=""0.00021""","=""65""","=""""",,"=""2.927163739""","=""4.003936309""","=""""","=""*""","=""5""","=""""","=""""","=""5""",,"=""""","=""L9974""",
Th,1,"=""11511.55809""","=""0.00009""","=""11511.55811""","=""0.00009""","=""5800""","=""""",,"=""2.587299228""","=""3.664045428""","=""5f.6d2.7s""","=""5I*""","=""7""","=""5f.6d.7s.7p""","=""5H""","=""6""",,"=""""","=""L5951""",
Th,1,"=""11512.0590""","=""0.0004""","=""11512.05903""","=""0.00009""","=""220""","=""""",,"=""0.6897416420""","=""1.766440990""","=""6d3.(4F).7s""","=""5F""","=""1""","=""5f.6d.7s2""","=""3P*""","=""0""",,"=""""","=""L14361""",
Th,1,"=""11512.8005""","=""0.0007""","=""11512.80119""","=""0.00025""","=""49""","=""""",,"=""2.855726329""","=""3.93235627""","=""5f.7s2.7p""","=""3G""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L9974""",
Tl,1,"=""11512.82""","=""0.10""","=""11512.8+""","=""1.9""","=""1000""","=""""",,"=""3.28279""","=""4.35942""","=""6s2.7s""","=""2S""","=""1/2""","=""6s2.7p""","=""2P*""","=""3/2""",,"=""""","=""L4830""",
Th,3,"=""11513.4678""","=""0.0008""","=""11513.4679""","=""0.0004""","=""35""","=""""",,"=""1.26225410""","=""2.33882169""","=""5f.6d""","=""3D*""","=""2""","=""5f2""","=""3F""","=""2""",,"=""""","=""L9974""",
Cr,2,"=""11514.293""","=""0.005""","=""11514.306""","=""0.004""","=""1""","=""""",,"=""13.28053353""","=""14.35702277""","=""3d4.(5D).5d""","=""6P""","=""7/2""","=""3d4.(5D<4>).5f""","=""2[3]*""","=""7/2""",,"=""""","=""L18847""",
Kr,2,"=""11514.37""","=""0.10""","=""11514.37+""","=""0.13""","=""""","=""""",,"=""16.080402""","=""17.1568850""","=""4s2.4p4.(3P).4d""","=""4F""","=""5/2""","=""4s2.4p4.(3P).5p""","=""4D*""","=""3/2""",,"=""""","=""L8549""",
Th,1,"=""11514.9603""","=""0.0003""","=""11514.96019""","=""0.00013""","=""490""","=""""",,"=""2.347057245""","=""3.423485323""","=""6d2.7s.7p""","=""3G*""","=""3""","=""6d4""","=""3G""","=""3""",,"=""""","=""L5951""",
Th,2,"=""11515.3698""","=""0.0009""","=""11515.3707""","=""0.0004""","=""15""","=""""",,"=""2.05375230""","=""3.13014200""","=""5f.(2F*).6d2.(3F)""","=""4I*""","=""11/2""","=""5f2.(3H).7s""","=""""","=""9/2""",,"=""""","=""L9974""",
Fe,2,"=""11515.9311""","=""0.0006""","=""11515.9297""","=""0.0009""","=""22""","=""""",,"=""12.9818165""","=""14.0581539""","=""3d6.(5D).5d""","=""6D""","=""7/2""","=""3d6.(5D<3>).5f""","=""2[5]*""","=""9/2""",,"=""""","=""L18349c139""",
Th,1,"=""11516.2942""","=""0.0007""","=""11516.29319""","=""0.00025""","=""67""","=""""",,"=""2.911319332""","=""3.98762282""","=""""","=""*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L9974""",
Th,1,"=""11516.45347""","=""0.00024""","=""11516.45345""","=""0.00007""","=""610""","=""""",,"=""0.6897416420""","=""1.766030147""","=""6d3.(4F).7s""","=""5F""","=""1""","=""5f.6d.7s2""","=""3P*""","=""1""",,"=""""","=""L5951""",
Th,1,"=""11516.7952""","=""0.0009""","=""11516.7966""","=""0.0004""","=""15""","=""""",,"=""3.34177856""","=""4.41803500""","=""""","=""*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L9974""",
Th,1,"=""11517.3833""","=""0.0007""","=""11517.38394""","=""0.00019""","=""83""","=""""",,"=""2.865714673""","=""3.941916225""","=""5f.6d2.7s""","=""5G*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L9974""",
Th,2,"=""11521.8258""","=""0.0005""","=""11521.8258""","=""0.0003""","=""130""","=""""",,"=""1.957336792""","=""3.033123450""","=""6d3""","=""4P""","=""5/2""","=""5f.(2F*).6d2.(3F)""","=""4P*""","=""5/2""",,"=""""","=""L9974""",
Th,2,"=""11522.1483""","=""0.0015""","=""11522.1487""","=""0.0015""","=""35""","=""""",,"=""5.95209269""","=""7.02784920""","=""5f2.6d+5f.6d.7p""","=""""","=""9/2""","=""5f2.7p? ""","=""*""","=""7/2""",,"=""""","=""L5951""",
Mg,1,"=""11522.240""","=""0.010""","=""11522.208""","=""0.010""","=""3""","=""1.24e+05""",B,"=""6.1182146""","=""7.1939656""","=""3s.4p""","=""1P*""","=""1""","=""3s.6d""","=""1D""","=""2""",,"=""T5539""","=""L6692""",
Ne,1,"=""11522.7450""","=""0.0014""","=""11522.7459""","=""0.0010""","=""33000""","=""1.07e+07""",B+,"=""18.70407118""","=""19.77977193""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
S,1,"=""11523.350""","=""0.010""","=""11523.350""","=""0.010""","=""6""","=""""",,"=""8.5844038""","=""9.6600482""","=""3s2.3p3.(2D*).4s""","=""1D*""","=""2""","=""3s2.3p3.(4S*).6p""","=""3P""","=""1""",,"=""""","=""L119""",
Ne,1,"=""11525.0203""","=""0.0014""","=""11525.0194""","=""0.0010""","=""17000""","=""5.37e+06""",B,"=""18.61270528""","=""19.68819383""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Th,1,"=""11525.4205""","=""0.0007""","=""11525.42041""","=""0.00019""","=""51""","=""""",,"=""2.532190560""","=""3.607641697""","=""6d.7s2.7p""","=""3P*""","=""1""","=""""","=""""","=""1""",,"=""""","=""L9974""",
Ti,1,"=""11525.931""","=""0.016""","=""11525.931""","=""0.005""","=""5""","=""""",,"=""4.2130640""","=""5.28846755""","=""3d2.(1G).4s.4p.(3P*)""","=""v 3F*""","=""2""","=""3d2.4s.(4F).4d""","=""3D""","=""1""",,"=""""","=""L10989""",
Cr,1,"=""11526.228""","=""0.013""","=""11526.226""","=""0.013""","=""2""","=""""",,"=""6.1150957""","=""7.1904716""","=""3d5.(6S).7s""","=""g 5S""","=""2""","=""3d4.4s.5p""","=""r 5D*""","=""1""",,"=""""","=""L14866""",
Th,1,"=""11526.45691""","=""0.00025""","=""11526.45683""","=""0.00010""","=""570""","=""""",,"=""1.761104381""","=""2.836458818""","=""6d3.(2G).7s""","=""""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L5951""",
Cs,2,"=""11526.8028""","=""0.0019""","=""11526.8038""","=""0.0017""","=""2200""","=""""",,"=""19.52179104""","=""20.59711311""","=""5p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""5p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""3""",,"=""""","=""L12126""",
Th,1,"=""11526.89707""","=""0.00014""","=""11526.89709""","=""0.00013""","=""1700""","=""""",,"=""2.928693548""","=""4.004006913""","=""5f.6d2.7s""","=""5I*""","=""8""","=""5f.6d.7s.7p""","=""5H""","=""7""",,"=""""","=""L5951""",
V,1,"=""11527.370""","=""0.007""","=""11527.365""","=""0.007""","=""2600""","=""""",,"=""3.5667950""","=""4.64206473""","=""3d3.(4P).4s.4p.(3P*)""","=""x 6D*""","=""9/2""","=""3d4.(5D).5s""","=""e 6D""","=""9/2""",,"=""""","=""L15916""",
Fe,1,"=""11527.863""","=""0.004""","=""11527.857""","=""0.003""","=""22""","=""""",,"=""5.58689276""","=""6.66211658""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""","=""3d6.(3D).4s.4p.(3P*)""","=""5F*""","=""3""",,"=""""","=""L11631""",
Cs,2,"=""11529.4526""","=""0.0013""","=""11529.454""","=""0.003""","=""4100""","=""""",,"=""20.55552673""","=""21.63060166""","=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).6g""","=""2[5/2]*""","=""2""",,"=""""","=""L12126""",
Fe,1,"=""11529.752""","=""0.004""","=""11529.7476""","=""0.0019""","=""24""","=""""",,"=""5.62068415""","=""6.69573167""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""2""","=""3d6.(3D).4s.4p.(3P*)""","=""t 5P*""","=""3""",,"=""""","=""L11631""",
Th,1,"=""11530.9342""","=""0.0004""","=""11530.93366""","=""0.00013""","=""180""","=""""",,"=""2.624137715""","=""3.699074652""","=""5f.6d.7s2""","=""3D*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L14361""",
Fe,2,"=""11531.678""","=""0.005""","=""11531.6720""","=""0.0012""","=""8""","=""""",,"=""6.72932284""","=""7.8041909""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""11532.572""","=""0.003""","=""11532.5752""","=""0.0009""","=""1.2bl(Ne)""","=""""",,"=""12.9818165""","=""14.0566004""","=""3d6.(5D).5d""","=""6D""","=""7/2""","=""3d6.(5D<3>).5f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c148""",
Cs,2,"=""11533.010""","=""0.006""","=""11533.011""","=""0.008""","=""6100""","=""""",,"=""20.97122439""","=""22.0459677""","=""5p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""","=""5p5.(2P*<3/2>).7h""","=""2[9/2]""","=""5""",,"=""""","=""L12126""",
Cs,2,"=""11533.966""","=""0.003""","=""11533.965""","=""0.004""","=""4800""","=""""",,"=""20.97131312""","=""22.0459676""","=""5p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""","=""5p5.(2P*<3/2>).7h""","=""2[9/2]""","=""4""",,"=""""","=""L12126""",
Fe,2,"=""11534.081""","=""0.004""","=""11534.0894""","=""0.0021""","=""2.9""","=""""",,"=""10.5600846""","=""11.6347274""","=""3d6.(5D).4d""","=""f 4D""","=""1/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""3/2""",,"=""""","=""L18349c139""",
Th,1,"=""11534.1546""","=""0.0008""","=""11534.15798""","=""0.00016""","=""23""","=""""",,"=""2.506331889""","=""3.580968332""","=""6d2.7s.7p""","=""5D*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L9974""",
Hf,1,"=""11534.16""","=""0.13""","=""11534.234""","=""0.008""","=""100""","=""""",,"=""3.1345490""","=""4.2091784""","=""5d3.(b 4F).6s""","=""b 3F""","=""3""","=""5d2.(a 3F).6s.(a 2F).6p""","=""x 3F*""","=""3""",,"=""""","=""L21571c196""",
Mg,2,"=""11534.796""","=""0.010""","=""11534.83""","=""0.10""","=""3""","=""9.42e+05""",B+,"=""13.095501""","=""14.170075""","=""2p6.6p""","=""2P*""","=""1/2""","=""2p6.9s""","=""2S""","=""1/2""",,"=""c31""","=""L6692""",
Th,1,"=""11536.0672""","=""0.0005""","=""11536.06724""","=""0.00010""","=""140""","=""""",,"=""2.135541319""","=""3.209999907""","=""6d2.7s.7p""","=""5F*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L14361""",
Ne,1,"=""11536.3446""","=""0.0014""","=""11536.3445""","=""0.0010""","=""9100""","=""7.10e+06""",B+,"=""18.96595369""","=""20.04038646""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Fe,2,"=""11537.0756""","=""0.0006""","=""11537.0750""","=""0.0009""","=""50""","=""""",,"=""13.0438578""","=""14.1182225""","=""3d6.(5D).5d""","=""6G""","=""5/2""","=""3d6.(5D<1>).5f""","=""2[4]*""","=""7/2""",,"=""""","=""L18349c139""",
Xe,1,"=""11537.40""","=""0.10""","=""11537.304+""","=""0.019""","=""1""","=""""",,"=""10.4010308""","=""11.4753742""","=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).8p""","=""2[1/2]""","=""0""",,"=""""","=""L7293""",
C,1,"=""11538.31""","=""0.05""","=""11538.3619""","=""0.0003""","=""15000""","=""3.0e+05""",C,"=""9.330467271""","=""10.404712177""","=""2s.2p3""","=""3P*""","=""2""","=""2s2.2p.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",,"=""T6070""","=""L9405c186""",
Ti,1,"=""11539.547""","=""0.016""","=""11539.548""","=""0.009""","=""82""","=""""",,"=""3.1042426""","=""4.1783771""","=""3d3.(2F).4s""","=""3F""","=""4""","=""3d3.(4F).4p""","=""w 3F*""","=""4""",,"=""""","=""L10989""",
Mg,1,"=""11540.672""","=""0.010""","=""11540.61""","=""0.10""","=""4""","=""9.61e+05""",C+,"=""6.1182146""","=""7.192250""","=""3s.4p""","=""1P*""","=""1""","=""3s.7s""","=""1S""","=""0""",,"=""T5539""","=""L6692""",
Th,1,"=""11541.0234""","=""0.0008""","=""11541.02249""","=""0.00016""","=""37""","=""""",,"=""2.714030537""","=""3.788027797""","=""""","=""*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L9974""",
Th,2,"=""11542.4945""","=""0.0005""","=""11542.4946""","=""0.0003""","=""240""","=""""",,"=""1.048950095""","=""2.12281038""","=""6d3""","=""""","=""3/2""","=""5f.(2F*).6d2.(1D)""","=""*""","=""3/2""",,"=""""","=""L9974""",
Th,1,"=""11543.155""","=""0.004""","=""11543.1470""","=""0.0003""","=""0""","=""""",,"=""2.677398258""","=""3.75119785""","=""6d3.(2F).7s""","=""1F""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L2351""",
Th,1,"=""11543.8166""","=""0.0005""","=""11543.81554""","=""0.00011""","=""110""","=""""",,"=""1.716904709""","=""2.790642114""","=""6d3.(4F).7s""","=""3F""","=""2""","=""6d2.7s.7p""","=""5P*""","=""2""",,"=""""","=""L9974""",
Th,1,"=""11543.902""","=""0.004""","=""11543.9066""","=""0.0013""","=""100""","=""""",,"=""4.26880376""","=""5.34253270""","=""""","=""*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L2351""",
Fe,2,"=""11544.0824""","=""0.0019""","=""11544.0971""","=""0.0011""","=""2.1""","=""""",,"=""13.0445113""","=""14.1182225""","=""3d6.(5D).5d""","=""4G""","=""9/2""","=""3d6.(5D<1>).5f""","=""2[4]*""","=""7/2""",,"=""""","=""L18349c145""",
Th,2,"=""11544.5190""","=""0.0008""","=""11544.5174""","=""0.0003""","=""29""","=""""",,"=""2.564755353""","=""3.63842748""","=""5f.(2F*).6d2.(3F)""","=""*""","=""5/2""","=""5f2.(3F).7s""","=""""","=""5/2""",,"=""""","=""L9974""",
Mg,2,"=""11544.621""","=""0.010""","=""11544.66""","=""0.10""","=""5""","=""1.88e+06""",B+,"=""13.096416""","=""14.170075""","=""2p6.6p""","=""2P*""","=""3/2""","=""2p6.9s""","=""2S""","=""1/2""",,"=""c31""","=""L6692""",
Fe,1,"=""11546.38""","=""0.03""","=""11546.377""","=""0.003""","=""16bl""","=""""",,"=""5.65471608""","=""6.72821528""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 5G*""","=""6""","=""3d7.(4F).4d""","=""e 3H""","=""5""",,"=""""","=""L11631""",
Bi,1,"=""11551.300""","=""0.008""","=""11551.297+""","=""0.019""","=""4""","=""""",,"=""5.6928439""","=""6.7658859""","=""6p2.(3P<1>).7s""","=""2[1]""","=""1/2""","=""6p2.(3P<1>).7p""","=""2[2]*""","=""3/2""",,"=""""","=""L6416,L7407""",
Th,1,"=""11551.6096""","=""0.0007""","=""11551.61086""","=""0.00021""","=""51""","=""""",,"=""2.714030537""","=""3.787043357""","=""""","=""*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L9974""",
