element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Hg,1,"=""9157.8""","=""0.4""","=""9157.78""","=""0.07""","=""2""","=""""",,"=""8.8285795""","=""10.182076""","=""5d10.6s.7p""","=""3P*""","=""2""","=""5d10.6s.12s""","=""3S""","=""1""",,"=""""","=""L15167c86""",
W,1,"=""9157.89""","=""0.10""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Ne,2,"=""9158.081""","=""0.020""","=""9158.082""","=""0.004""","=""12""","=""""",,"=""37.4253334""","=""38.7787847""","=""2s2.2p4.(3P).4d""","=""4D""","=""5/2""","=""2s2.2p4.(3P<2>).5f""","=""2[3]*""","=""7/2""",,"=""""","=""L1406""",
Cu,2,"=""9158.409""","=""0.009""","=""9158.393""","=""0.004""","=""450""","=""""",,"=""16.7546255""","=""18.1080308""","=""3d8.(3P).4s.4p.(3P*)""","=""3P*""","=""1""","=""3d9.(2D<5/2>).5g""","=""2[3/2]""","=""1""",,"=""""","=""L869c171""",
Hf,1,"=""9158.550""","=""0.015""","=""""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
W,1,"=""9158.90""","=""0.10""","=""9158.888""","=""0.067""","=""20""","=""1.2e+05""",D,"=""2.266491""","=""3.619823""","=""5d5.(6S).6s""","=""5S""","=""2""","=""5d4.6s.(6D).6p""","=""5D*""","=""2""",,"=""T4976""","=""L153""",
Ar,2,"=""9159.0316""","=""0.0012""","=""9159.0326""","=""0.0007""","=""17""","=""""",,"=""22.26659804""","=""23.619908872""","=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""",,"=""""","=""L11520""",
Ba,3,"=""9159.65""","=""0.03""","=""9159.669""","=""0.020""","=""6""","=""""",,"=""27.185057""","=""28.538274""","=""5p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""",,"=""""","=""L3667""",
W,1,"=""9161.47""","=""0.10""","=""9161.440""","=""0.067""","=""6""","=""""",,"=""3.330419""","=""4.683374""","=""5d5.(2F1).6s""","=""3F""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
Xe,1,"=""9162.6520""","=""0.0005""","=""9162.653+""","=""0.012""","=""500""","=""2.4e+07""",C+,"=""8.4365241""","=""9.7893002""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""",,"=""T3269n,T6714""","=""L7292""",
Al,1,"=""9163.261""","=""0.010""","=""9163.264""","=""0.010""","=""2""","=""""",,"=""7.0330012""","=""8.3856871""","=""3s.3p2""","=""2P""","=""3/2""","=""3s.3p.(3P*).3d""","=""2D*""","=""3/2""",,"=""""","=""L4737""",
Ne,2,"=""9163.57""","=""0.04""","=""9163.546""","=""0.003""","=""12w""","=""""",,"=""37.4253334""","=""38.7779776""","=""2s2.2p4.(3P).4d""","=""4D""","=""5/2""","=""2s2.2p4.(3P<2>).5f""","=""2[4]*""","=""7/2""",,"=""""","=""L1406""",
Fe,1,"=""9163.982""","=""0.003""","=""9163.9818""","=""0.0012""","=""78""","=""""",,"=""5.09954435""","=""6.45212430""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,"=""""","=""L11631""",
Rb,2,"=""9164.064""","=""0.005""","=""""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2590""",
Sr,3,"=""9164.077""","=""0.030""","=""9164.068""","=""0.020""","=""20""","=""""",,"=""33.477162""","=""34.829729""","=""4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",,"=""""","=""L1771""",
Th,2,"=""9164.081""","=""0.012""","=""9164.0563""","=""0.0004""","=""0""","=""""",,"=""3.31911804""","=""4.67168699""","=""5f.(2F*).6d2.(3P)""","=""4G*""","=""11/2""","=""5f.7s.(3F*).7p""","=""""","=""11/2""",,"=""""","=""L2372""",
Th,1,"=""9164.261""","=""0.008""","=""9164.2738""","=""0.0003""","=""210""","=""""",,"=""2.677398258""","=""4.02993511""","=""6d3.(2F).7s""","=""1F""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L3552""",
Fe,1,"=""9164.571""","=""0.003""","=""9164.5699""","=""0.0012""","=""129""","=""""",,"=""4.91297355""","=""6.26546671""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""f 5D""","=""3""",,"=""""","=""L11631""",
V,1,"=""9164.858""","=""0.003""","=""9164.8572""","=""0.0011""","=""14000""","=""""",,"=""1.93068628""","=""3.28313703&dagger;""","=""3d4.(3P2).4s""","=""b 4P""","=""5/2""","=""3d4.(5D).4p""","=""y 4D*""","=""7/2""",,"=""""","=""L15916""",
Th,1,"=""9165.0137""","=""0.0009""","=""9165.01266""","=""0.00010""","=""36""","=""""",,"=""1.980039530""","=""3.332467345""","=""6d3.(2D2).7s""","=""""","=""3""","=""6d2.7s.7p""","=""3G*""","=""3""",,"=""""","=""L5951""",
W,1,"=""9165.38""","=""0.10""","=""9165.404""","=""0.067""","=""4""","=""""",,"=""4.804194""","=""6.156564""","=""""","=""*""","=""4""","=""5d4.6s.(6D).7s""","=""5D""","=""3""",,"=""""","=""L153""",
W,1,"=""9165.78""","=""0.10""","=""9165.681""","=""0.067""","=""1""","=""""",,"=""1.916797""","=""3.269126""","=""5d4.6s2""","=""3D""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Fe,2,"=""9165.8121""","=""0.0009""","=""9165.8134""","=""0.0009""","=""13""","=""2.2e+06""",D+,"=""11.4510101""","=""12.8033198""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""3/2""","=""3d6.(5D).6s""","=""4D""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
V,1,"=""9165.839""","=""0.004""","=""9165.836""","=""0.003""","=""5500""","=""""",,"=""1.8925980""","=""3.24490427""","=""3d3.4s2""","=""a 2H""","=""11/2""","=""3d4.(5D).4p""","=""y 4F*""","=""9/2""",,"=""""","=""L15916""",
Th,1,"=""9165.89471""","=""0.00008""","=""9165.89474""","=""0.00006""","=""2000""","=""""",,"=""1.438344449""","=""2.790642114""","=""6d3.(4P).7s""","=""5P""","=""1""","=""6d2.7s.7p""","=""5P*""","=""2""",,"=""""","=""L18702""",
Br,1,"=""9166.060""","=""0.022""","=""9166.07+""","=""0.12""","=""30000""","=""3.1e+07""",C+,"=""8.047466""","=""9.399738""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""3/2""","=""4s2.4p4.(3P<2>).5p""","=""2[1]*""","=""1/2""",,"=""T6936n,T9382""","=""L351""",
Fe,2,"=""9166.3024""","=""0.0004""","=""9166.3017""","=""0.0007""","=""360""","=""""",,"=""12.8458690""","=""14.1981066""","=""3d6.(3G).5s""","=""e 2G""","=""9/2""","=""3d6.(3G).5p""","=""2H*""","=""11/2""",,"=""""","=""L18349c139""",
W,1,"=""9167.00""","=""0.10""","=""9167.035""","=""0.067""","=""4""","=""""",,"=""3.430702""","=""4.782832""","=""5d5.(4F).6s""","=""5F""","=""1""","=""""","=""*""","=""0""",,"=""""","=""L153""",
Th,1,"=""9167.469""","=""0.008""","=""9167.47892""","=""0.00006""","=""53""","=""""",,"=""1.648671592""","=""3.000735574""","=""6d3.(2G).7s""","=""3G""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L3552""",
Xe,1,"=""9167.52""","=""0.02""","=""9167.512+""","=""0.012""","=""100""","=""""",,"=""9.6856205""","=""11.0376796""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",,"=""""","=""L4739""",
Ti,1,"=""9167.541""","=""0.010""","=""9167.538""","=""0.003""","=""91""","=""""",,"=""3.1277769""","=""4.4798321""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""3""","=""3d4""","=""b 3G""","=""4""",,"=""""","=""L10989""",
